feature,place,category,pred,,,,,,,
service,Gravy_Restaurant,service,-0.002765022,,,,,,,
review,Gravy_Restaurant,price,0.39314815,,,,,,,
review,Gravy_Restaurant,price,0.000242747,,,,,,,
65,Gravy_Restaurant,food,-0.005433612,,,,,,,
food,Gravy_Restaurant,food,0.50810915,,,,,,,
paneer,Gravy_Restaurant,food,-0.001657479,,,,,,,
tikka,Gravy_Restaurant,food,-0.001657479,,,,,,,
flavour,Gravy_Restaurant,food,-0.001657479,,,,,,,
review,Gravy_Restaurant,price,0.20557174,,,,,,,
dinner,Gravy_Restaurant,price,-0.025583647,,,,,,,
place,Gravy_Restaurant,ambience,0.69135517,,,,,,,
evening,Gravy_Restaurant,price,-0.025583647,,,,,,,
vibe,Gravy_Restaurant,ambience,0.69135517,,,,,,,
wife,Gravy_Restaurant,price,-0.002514884,,,,,,,
ambience,Gravy_Restaurant,ambience,-0.001803875,,,,,,,
food,Gravy_Restaurant,food,0.53084403,,,,,,,
desh,Gravy_Restaurant,food,0.53084403,,,,,,,
videsh,Gravy_Restaurant,food,0.53084403,,,,,,,
liking,Gravy_Restaurant,price,-0.3957248,,,,,,,
colour,Gravy_Restaurant,ambience,-0.002429724,,,,,,,
chef,Gravy_Restaurant,food,-0.002763182,,,,,,,
team,Gravy_Restaurant,service,-0.002763182,,,,,,,
pricing,Gravy_Restaurant,price,0.6581089,,,,,,,
feedback,Gravy_Restaurant,service,0.1962327,,,,,,,
preference,Gravy_Restaurant,price,-0.004138075,,,,,,,
colouring,Gravy_Restaurant,food,-0.001853146,,,,,,,
portion,Gravy_Restaurant,price,0.6581089,,,,,,,
instance,Gravy_Restaurant,price,-0.002950385,,,,,,,
dishes,Gravy_Restaurant,food,0.15346403,,,,,,,
taste,Gravy_Restaurant,price,0.15346403,,,,,,,
bit,Gravy_Restaurant,price,0.159528,,,,,,,
time,Gravy_Restaurant,price,0.008172184,,,,,,,
quality,Gravy_Restaurant,price,-0.001320317,,,,,,,
visit,Gravy_Restaurant,price,0.24278274,,,,,,,
food,Gravy_Restaurant,food,-0.002811149,,,,,,,
quantity,Gravy_Restaurant,price,0.58868575,,,,,,,
service,Gravy_Restaurant,service,0.68829906,,,,,,,
quality,Gravy_Restaurant,price,-0.001320317,,,,,,,
words,Gravy_Restaurant,price,0.3920152,,,,,,,
review,Gravy_Restaurant,price,0.000242747,,,,,,,
review,Gravy_Restaurant,price,0.1972743,,,,,,,
masala,Gravy_Restaurant,food,0.48958883,,,,,,,
chai,Gravy_Restaurant,food,0.48958883,,,,,,,
restaurant,Gravy_Restaurant,ambience,0.48958883,,,,,,,
prawns,Gravy_Restaurant,food,-0.0028634,,,,,,,
chicken,Gravy_Restaurant,food,-0.5980016,,,,,,,
kadahi,Gravy_Restaurant,Non-Categorised,-0.59800166,,,,,,,
feedback,Gravy_Restaurant,service,0.19691761,,,,,,,
day,Gravy_Restaurant,price,0.19691761,,,,,,,
review,Gravy_Restaurant,price,0.20557174,,,,,,,
food,Gravy_Restaurant,food,0.7883266,,,,,,,
dime,Gravy_Restaurant,price,0.30687895,,,,,,,
Thanks,Gravy_Restaurant,food,0.15472637,,,,,,,
mile,Gravy_Restaurant,ambience,0.15472637,,,,,,,
service,Gravy_Restaurant,service,0.98574173,,,,,,,
Thanks,Gravy_Restaurant,food,0.20072067,,,,,,,
lot,Gravy_Restaurant,price,0.20072067,,,,,,,
review,Gravy_Restaurant,price,0.20072067,,,,,,,
moment,Gravy_Restaurant,price,-0.001322478,,,,,,,
restaurant,Gravy_Restaurant,ambience,0.13231963,,,,,,,
ratings,Gravy_Restaurant,price,0.13231963,,,,,,,
fuss,Gravy_Restaurant,price,-0.006207787,,,,,,,
food,Gravy_Restaurant,food,-0.003950633,,,,,,,
speciality,Gravy_Restaurant,food,-0.002188221,,,,,,,
name,Gravy_Restaurant,price,-0.003526948,,,,,,,
gravy,Gravy_Restaurant,food,0.050582264,,,,,,,
meal,Gravy_Restaurant,food,0.003621981,,,,,,,
words,Gravy_Restaurant,price,0.3085742,,,,,,,
spice,Gravy_Restaurant,food,0.011797734,,,,,,,
level,Gravy_Restaurant,price,0.011797734,,,,,,,
time,Gravy_Restaurant,price,0.011797734,,,,,,,
thrice,Gravy_Restaurant,food,-0.001518443,,,,,,,
food,Gravy_Restaurant,food,0.9824078,,,,,,,
samosa,Gravy_Restaurant,food,0.00093127,,,,,,,
items,Gravy_Restaurant,price,0.00093127,,,,,,,
hospitality,Gravy_Restaurant,price,0.5901861,,,,,,,
Lavanya,Gravy_Restaurant,Non-Categorised,-0.001602776,,,,,,,
food,Gravy_Restaurant,food,-0.0962869,,,,,,,
quality,Gravy_Restaurant,price,-0.096286915,,,,,,,
levels,Gravy_Restaurant,price,-0.096286915,,,,,,,
restaurant,Gravy_Restaurant,ambience,-0.003291987,,,,,,,
service,Gravy_Restaurant,service,-0.002765022,,,,,,,
atmosphere,Gravy_Restaurant,ambience,0.6968927,,,,,,,
food,Gravy_Restaurant,food,0.6918436,,,,,,,
service,Gravy_Restaurant,service,0.69859076,,,,,,,
Renu,Gravy_Restaurant,Non-Categorised,-0.001602776,,,,,,,
review,Gravy_Restaurant,price,0.009276398,,,,,,,
food,Gravy_Restaurant,food,0.9803825,,,,,,,
masala,Gravy_Restaurant,food,-0.002607338,,,,,,,
papad,Gravy_Restaurant,food,-0.002607338,,,,,,,
platter,Gravy_Restaurant,food,-0.001254655,,,,,,,
bruschetta,Gravy_Restaurant,food,-7.70E-05,,,,,,,
curries,Gravy_Restaurant,food,-0.001008153,,,,,,,
naans,Gravy_Restaurant,food,-0.20388955,,,,,,,
day,Gravy_Restaurant,price,0.002877839,,,,,,,
review,Gravy_Restaurant,price,0.002877839,,,,,,,
mouthwatering,Gravy_Restaurant,food,0.34202296,,,,,,,
flavors,Gravy_Restaurant,food,0.34202296,,,,,,,
staff,Gravy_Restaurant,service,0.6237081,,,,,,,
service,Gravy_Restaurant,service,0.6237081,,,,,,,
Thanks,Gravy_Restaurant,food,0.18452036,,,,,,,
aspect,Gravy_Restaurant,price,-0.034744017,,,,,,,
restaurant,Gravy_Restaurant,ambience,-0.034744017,,,,,,,
place,Gravy_Restaurant,ambience,0.506368,,,,,,,
dishes,Gravy_Restaurant,food,0.49690774,,,,,,,
top,Gravy_Restaurant,price,0.4922187,,,,,,,
food,Gravy_Restaurant,food,0.4922187,,,,,,,
names,Gravy_Restaurant,price,-0.004103176,,,,,,,
waitress,Gravy_Restaurant,service,0.5799327,,,,,,,
items,Gravy_Restaurant,price,-0.004638955,,,,,,,
menu,Gravy_Restaurant,food,-0.004638977,,,,,,,
