word,tag
goodwill,NN
gone,VBN
scam,JJ
squeeze,NN
noisy,NN
tthe,NN
spoilt,NN
okok,IN
wow,JJ
entrance,NN
awkward,IN
opposite,JJ
gather,NN
environment,NN
facesoriginalbuenas,NNS
hamburguesas,VBP
caras,NNS
veg,NN
seemed,VBD
overlooking,VBG
hits,NNS
burgerfrench,NN
compare,VBP
brand,NN
arrangement,NN
inwards,NNS
groups,NNS
bigger,JJR
seated,VBD
obviously,RB
irritated,JJ
annoyed,VBD
booze,NN
viewing,VBG
bunbread,JJ
share,NN
kfc,VBZ
staying,VBG
relatively,RB
flavorless,JJ
leaf,NN
lettucetomato,NN
pickle,NN
families,NNS
r,VBP
difficult,JJ
use,NN
fork,NN
knife,NN
cld,NN
hv,NN
ons,NNS
onionsmushroomsbaconall,VBP
kinds,NNS
sauces,NNS
s23,VBP
jalapeno,JJ
gd,JJ
spanish,JJ
period,NN
including,VBG
briochetype,JJ
lamb,NN
espresso,NN
straight,VBD
italy,NNS
layout,RBR
completely,RB
raw,JJ
unwind,IN
hectic,JJ
dayweek,NN
upmarket,NN
feeling,NN
regret,JJ
classy,NN
11am,CD
represents,VBZ
unsure,JJ
safe,JJ
bet,NN
deg,NN
lively,RB
nofuss,JJ
music,NN
playing,NN
background,NN
navigate,NN
hoped,VBD
array,NN
doityourself,NN
build,NN
reality,NN
albeit,IN
damage,NN
s3050,NN
twochic,JJ
vibrant,NN
housed,VBD
plc,JJ
designer,NN
burger1for1,NN
btw,NN
theyve,NN
pattie,NN
itll,VBP
inexpensive,JJ
tight,JJ
ahh,NN
cute,NN
lets,NNS
ignored,VBD
undercooked,JJ
dearly,RB
20,CD
per,IN
pax,NN
specializes,NNS
switched,VBD
format,JJ
coke,NN
weak,JJ
destination,NN
appreciated,VBD
brewed,VBN
ni,IN
stone,NN
burguers,NNS
sparkling,VBG
darn,NN
38original,CD
ringsbut,NN
overpriced,VBN
sometimes,RB
charges,VBZ
overdone,NN
chopped,VBD
sandwiches,NNS
whoever,WP
wrote,VBD
hubers,NNS
bill,NN
process,JJ
payment,NN
taster,NN
platter,NN
purpose,VBP
exceptional,JJ
slowsmall,NN
dinning,VBG
salads,NNS
wifi,VBP
cooks,NNS
lick,JJ
fingers,NNS
washing,VBG
hands,NNS
comprehensive,JJ
chains,NNS
resort,VBP
using,VBG
spoon,NN
deconstruct,NN
breaks,NNS
non,RB
terribly,RB
rated,VBN
seatings,NNS
squeezy,JJ
cheeses,NNS
saving,VBG
grace,NN
cried,VBD
circling,VBG
industrial,JJ
foot,NN
sign,NN
final,JJ
desperate,NN
hoisting,VBG
white,JJ
flag,NN
picks,NNS
hasta,VBP
vista,JJ
babeh,NN
sayonara,NN
hi,NN
raelynnso,NN
finally,RB
help,VB
foodthank,VB
reviewyou,JJ
rockbest,JJS
wishesadam,NN
penney,NN
fragrant,JJ
variation,NN
dear,NN
fenellathank,VBD
agree,JJ
cutlery,NN
emergencies,NNS
yours,VBP
thank,JJ
supportbest,NN
balling,VBG
josiahthank,NN
stellar,JJ
nabihahthank,NN
hennie,NN
diggity,NN
dawg,VBP
stomach,NN
varianthank,NN
tastiest,NN
shindysorry,NN
reply,NN
via,IN
nvr,JJ
ballin,NN
truff,NN
plug,NN
monie,NN
shroom,NN
jinthank,NN
fuh,NN
1010,CD
jeffthank,NN
support,NN
d,NN
recovery,NN
shows,VBZ
serious,JJ
feedback,NN
gestrowhich,JJ
picture,NN
referring,VBG
email,JJ
adampotatohead,NN
coi,NN
assure,NN
trickery,NN
shots,NNS
shops,VBP
meats,NNS
grass,VBP
fed,VBN
argentina,JJ
zealand,NN
cuts,NNS
condiments,NNS
scratch,VBP
class,NN
natural,JJ
produce,NN
discuss,NN
furtherbest,JJS
grabfood,NN
condition,NN
suggestion,NN
specify,VBD
saddadthank,JJ
doness,NN
comments,NNS
reward,VBP
harrythank,NN
roti,NN
dogsausages,VBZ
keep,VB
livid,JJ
garythank,NN
apprehensive,JJ
ordering,VBG
negative,JJ
complaints,NNS
mariethank,JJ
husband,NN
yourmeal,NN
3rd,CD
tiga,NN
fragrance,NN
tonythank,VBD
previous,JJ
oki,NN
reiterated,VBD
chefs,NNS
specs,VB
hormone,CD
antibiotic,JJ
appreciate,NN
supporting,VBG
timeplease,NN
cobest,JJS
halal,NN
marmalade,VBD
hafizthank,NN
bandung,NN
packaging,NN
yasminethank,NN
words,NNS
ubi,JJ
julianathank,NN
loveso,JJ
start,NN
bisque,NN
wagyu,NN
brownie,NN
downsides,VBZ
mains,NNS
pork,NN
ribs,VBP
slab,NN
jk,NN
yus,CC
roll,NN
now,RB
goto,VBZ
smashed,VBN
ribeye,NN
par,NN
celebrated,VBD
celebratory,JJ
arrangements,NNS
dine,VBP
soup,JJ
oysters,NNS
mussels,NNS
somehow,VBP
